epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,855.257,0.3842,0.34992,0.81482,0.85626,0.68274,0.65736,0.55566,0.35238,0.38989,0.81006,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,867.281,0.40097,0.35141,0.8132,0.86332,0.69152,0.65958,0.55015,0.35148,0.39268,0.80993,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,879.366,0.44233,0.35415,0.80954,0.85837,0.68973,0.65711,0.55642,0.34954,0.39241,0.80949,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,891.308,0.36891,0.28926,0.78461,0.85837,0.68973,0.65711,0.55642,0.34954,0.39241,0.80949,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,903.547,0.38287,0.32007,0.79613,0.85505,0.68523,0.65983,0.55623,0.35194,0.39624,0.80995,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,915.495,0.44679,0.36653,0.83952,0.86368,0.67942,0.66413,0.55617,0.35217,0.39501,0.80998,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,927.63,0.39501,0.35134,0.80304,0.85439,0.67989,0.66425,0.56099,0.35179,0.39661,0.81088,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,939.653,0.42796,0.33677,0.79948,0.85439,0.67989,0.66425,0.56099,0.35179,0.39661,0.81088,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,951.795,0.39618,0.31955,0.81345,0.85544,0.68199,0.66461,0.55723,0.35292,0.39749,0.80932,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,963.772,0.36388,0.29836,0.79428,0.87684,0.68418,0.66489,0.55538,0.34978,0.39868,0.81042,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
